,Week,Day,Date,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,OT,Rec,Unnamed: 8_level_1,Opp,Opp_2,Tm,1stD,1stD_2,TotYd,TotYd_2,PassY,PassY_2,RushY,RushY_2,TO,TO_2,Offense,Defense,Sp. Tms,,key,Unnamed: 0,DET,ARI
2,5,Sun,October 6,1:00PM ET,boxscore,W,,1-3-1,@,Cincinnati Bengals,23.0,26.0,26.0,21.0,514.0,370.0,248.0,262.0,266.0,108.0,,,21.22,-9.27,-8.95,/boxscores/201910060cin.htm,0,Cmp-Att-Yd-TD-INT,,20-32-253-0-0
3,5,Sun,October 6,1:00PM ET,boxscore,W,,1-3-1,@,Cincinnati Bengals,23.0,26.0,26.0,21.0,514.0,370.0,248.0,262.0,266.0,108.0,,,21.22,-9.27,-8.95,/boxscores/201910060cin.htm,0,Sacked-Yards,,1-5
4,5,Sun,October 6,1:00PM ET,boxscore,W,,1-3-1,@,Cincinnati Bengals,23.0,26.0,26.0,21.0,514.0,370.0,248.0,262.0,266.0,108.0,,,21.22,-9.27,-8.95,/boxscores/201910060cin.htm,0,Net Pass Yards,,248
5,5,Sun,October 6,1:00PM ET,boxscore,W,,1-3-1,@,Cincinnati Bengals,23.0,26.0,26.0,21.0,514.0,370.0,248.0,262.0,266.0,108.0,,,21.22,-9.27,-8.95,/boxscores/201910060cin.htm,0,Total Yards,,514
6,5,Sun,October 6,1:00PM ET,boxscore,W,,1-3-1,@,Cincinnati Bengals,23.0,26.0,26.0,21.0,514.0,370.0,248.0,262.0,266.0,108.0,,,21.22,-9.27,-8.95,/boxscores/201910060cin.htm,0,Fumbles-Lost,,0-0
7,5,Sun,October 6,1:00PM ET,boxscore,W,,1-3-1,@,Cincinnati Bengals,23.0,26.0,26.0,21.0,514.0,370.0,248.0,262.0,266.0,108.0,,,21.22,-9.27,-8.95,/boxscores/201910060cin.htm,0,Turnovers,,0
8,5,Sun,October 6,1:00PM ET,boxscore,W,,1-3-1,@,Cincinnati Bengals,23.0,26.0,26.0,21.0,514.0,370.0,248.0,262.0,266.0,108.0,,,21.22,-9.27,-8.95,/boxscores/201910060cin.htm,0,Penalties-Yards,,12-96
9,5,Sun,October 6,1:00PM ET,boxscore,W,,1-3-1,@,Cincinnati Bengals,23.0,26.0,26.0,21.0,514.0,370.0,248.0,262.0,266.0,108.0,,,21.22,-9.27,-8.95,/boxscores/201910060cin.htm,0,Third Down Conv.,,6-13
10,5,Sun,October 6,1:00PM ET,boxscore,W,,1-3-1,@,Cincinnati Bengals,23.0,26.0,26.0,21.0,514.0,370.0,248.0,262.0,266.0,108.0,,,21.22,-9.27,-8.95,/boxscores/201910060cin.htm,0,Fourth Down Conv.,,1-1
11,5,Sun,October 6,1:00PM ET,boxscore,W,,1-3-1,@,Cincinnati Bengals,23.0,26.0,26.0,21.0,514.0,370.0,248.0,262.0,266.0,108.0,,,21.22,-9.27,-8.95,/boxscores/201910060cin.htm,0,Time of Possession,,31:03
0,6,Sun,October 13,4:05PM ET,boxscore,W,,2-3-1,,Atlanta Falcons,33.0,34.0,24.0,31.0,442.0,444.0,340.0,341.0,102.0,103.0,,,23.23,-24.99,0.25,/boxscores/201910130crd.htm,0,First Downs,,24
1,6,Sun,October 13,4:05PM ET,boxscore,W,,2-3-1,,Atlanta Falcons,33.0,34.0,24.0,31.0,442.0,444.0,340.0,341.0,102.0,103.0,,,23.23,-24.99,0.25,/boxscores/201910130crd.htm,0,Rush-Yds-TDs,,29-102-1
2,6,Sun,October 13,4:05PM ET,boxscore,W,,2-3-1,,Atlanta Falcons,33.0,34.0,24.0,31.0,442.0,444.0,340.0,341.0,102.0,103.0,,,23.23,-24.99,0.25,/boxscores/201910130crd.htm,0,Cmp-Att-Yd-TD-INT,,27-37-340-3-0
3,6,Sun,October 13,4:05PM ET,boxscore,W,,2-3-1,,Atlanta Falcons,33.0,34.0,24.0,31.0,442.0,444.0,340.0,341.0,102.0,103.0,,,23.23,-24.99,0.25,/boxscores/201910130crd.htm,0,Sacked-Yards,,0-0
4,6,Sun,October 13,4:05PM ET,boxscore,W,,2-3-1,,Atlanta Falcons,33.0,34.0,24.0,31.0,442.0,444.0,340.0,341.0,102.0,103.0,,,23.23,-24.99,0.25,/boxscores/201910130crd.htm,0,Net Pass Yards,,340
