,Year,Team,Week,,Sacked,Yards
0,1983,crd,8,/boxscores/198310240crd.htm,3,20
0,1983,crd,9,/boxscores/198310300crd.htm,1,7
0,1983,crd,10,/boxscores/198311060was.htm,5,24
0,1983,crd,11,/boxscores/198311130crd.htm,3,22
0,1983,crd,12,/boxscores/198311200crd.htm,4,42
0,1983,crd,13,/boxscores/198311240dal.htm,7,41
0,1983,crd,14,/boxscores/198312040nyg.htm,5,41
0,1983,crd,15,/boxscores/198312110rai.htm,1,10
0,1983,crd,16,/boxscores/198312180crd.htm,4,31
0,1982,crd,1,/boxscores/198209120nor.htm,6,38
0,1982,crd,2,/boxscores/198209190crd.htm,5,42
0,1982,crd,11,/boxscores/198211210crd.htm,1,8
0,1982,crd,12,/boxscores/198211280atl.htm,1,13
0,1982,crd,13,/boxscores/198212050phi.htm,4,29
0,1982,crd,14,/boxscores/198212120crd.htm,3,26
0,1982,crd,15,/boxscores/198212190chi.htm,3,17
0,1982,crd,16,/boxscores/198212260crd.htm,4,26
0,1982,crd,17,/boxscores/198301020was.htm,5,44
0,1982,crd,Wild Card,/boxscores/198301080gnb.htm,5,38
0,1981,crd,1,/boxscores/198109060crd.htm,4,34
0,1981,crd,2,/boxscores/198109130dal.htm,4,33
0,1981,crd,3,/boxscores/198109200crd.htm,2,18
0,1981,crd,4,/boxscores/198109270tam.htm,2,20
0,1981,crd,5,/boxscores/198110040crd.htm,3,15
0,1981,crd,6,/boxscores/198110110nyg.htm,4,37
0,1981,crd,7,/boxscores/198110180atl.htm,0,0
0,1981,crd,8,/boxscores/198110250crd.htm,1,9
0,1981,crd,9,/boxscores/198111010was.htm,3,15
0,1981,crd,10,/boxscores/198111080crd.htm,5,41
0,1981,crd,11,/boxscores/198111150crd.htm,2,22
0,1981,crd,12,/boxscores/198111220clt.htm,1,8
0,1981,crd,13,/boxscores/198111290nwe.htm,3,25
0,1981,crd,14,/boxscores/198112060crd.htm,4,38
0,1981,crd,15,/boxscores/198112130crd.htm,3,33
0,1981,crd,16,/boxscores/198112200phi.htm,7,57
0,1980,crd,1,/boxscores/198009070crd.htm,4,35
0,1980,crd,2,/boxscores/198009140sfo.htm,2,9
0,1980,crd,3,/boxscores/198009210det.htm,5,33
0,1980,crd,4,/boxscores/198009280crd.htm,0,0
0,1980,crd,5,/boxscores/198010050nor.htm,1,10
0,1980,crd,6,/boxscores/198010120crd.htm,5,43
0,1980,crd,7,/boxscores/198010190was.htm,6,53
0,1980,crd,8,/boxscores/198010260clt.htm,2,19
0,1980,crd,9,/boxscores/198011020crd.htm,6,41
0,1980,crd,10,/boxscores/198011090crd.htm,2,15
0,1980,crd,11,/boxscores/198011160dal.htm,3,21
0,1980,crd,12,/boxscores/198011230crd.htm,3,17
0,1980,crd,13,/boxscores/198011300nyg.htm,0,0
0,1980,crd,14,/boxscores/198012070crd.htm,0,0
0,1980,crd,15,/boxscores/198012140phi.htm,2,11
0,1980,crd,16,/boxscores/198012210crd.htm,9,80
0,1979,crd,1,/boxscores/197909020crd.htm,1,7
0,1979,crd,2,/boxscores/197909090nyg.htm,1,3
0,1979,crd,3,/boxscores/197909160crd.htm,3,26
0,1979,crd,4,/boxscores/197909230crd.htm,3,25
0,1979,crd,5,/boxscores/197909300ram.htm,1,6
0,1979,crd,6,/boxscores/197910070oti.htm,3,16
0,1979,crd,7,/boxscores/197910140crd.htm,0,0
0,1979,crd,8,/boxscores/197910210dal.htm,7,58
0,1979,crd,9,/boxscores/197910280crd.htm,2,13
0,1979,crd,10,/boxscores/197911040crd.htm,0,0
0,1979,crd,11,/boxscores/197911110was.htm,1,9
0,1979,crd,12,/boxscores/197911180phi.htm,2,14
0,1979,crd,13,/boxscores/197911250cin.htm,2,12
0,1979,crd,14,/boxscores/197912020crd.htm,3,16
0,1979,crd,15,/boxscores/197912090crd.htm,1,9
0,1979,crd,16,/boxscores/197912160chi.htm,9,54
0,1978,crd,1,/boxscores/197809030chi.htm,2,15
0,1978,crd,2,/boxscores/197809100crd.htm,2,14
0,1978,crd,3,/boxscores/197809170crd.htm,2,21
0,1978,crd,4,/boxscores/197809240dal.htm,1,9
